Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,sma_20,ema_20,rsi_14,macd,macd_signal,macd_diff,bb_high,bb_low,bb_mid,news_count,avg_bearish,avg_bullish,avg_neutral,net_sentiment
2025-09-07,200.0427854945677,201.49940771904272,196.1584595626344,197.61508178710932,44569167,0.0,0.0,,,,,,,,,,3932,0.07475935910478128,0.15372939979654118,0.7715166581892168,0.0789700406917599
2025-09-08,198.5861604989293,201.9849456419428,198.1006197642131,201.49940490722656,63494345,0.0,0.0,,,,,,,,,,16,0.0038125000000000004,0.41829374999999996,0.577875,0.41448124999999997
2025-09-09,204.8981902349563,204.8981902349563,202.9560272943406,203.92710876464844,84148890,0.0,0.0,,,,,,,,,,16,0.0600375,0.0004875,0.93949375,-0.05955
2025-09-10,205.8692780608064,210.2391448120971,202.95603355994592,208.29698181152344,129973733,0.0,0.0,,,,,,,,,,34,0.08896176470588235,0.20488823529411765,0.7061558823529411,0.1159264705882353
2025-09-11,210.72467960050736,212.18130180972744,210.23913886410065,211.2102203369141,71479522,0.0,0.0,,,,,,,,,,36,0.026941666666666666,0.3071138888888889,0.6659527777777777,0.28017222222222227
2025-09-14,212.1813047903556,212.1813047903556,206.8403566148546,209.75360107421875,55330938,0.0,0.0,,,,,,,,,,33,0.0305,0.19165151515151516,0.7778333333333334,0.16115151515151516
2025-09-15,210.72468867821925,210.72468867821925,207.32590337695763,209.26806640625,49662786,0.0,0.0,,,,,,,,,,18,0.0001722222222222222,0.2766388888888889,0.7231666666666666,0.27646666666666664
2025-09-16,207.81144095366847,208.2969817035603,204.89819645431805,205.8692779541016,55894730,0.0,0.0,,,,,,,,,,24,0.00030416666666666667,0.3110541666666667,0.6886458333333333,0.31075
2025-09-17,205.38373132750044,209.7535979514898,201.98494617550872,208.7825164794922,78891977,0.0,0.0,,,,,,,,,,24,0.000175,0.1650875,0.8347416666666666,0.1649125
2025-09-18,210.2391509653252,210.7246917296793,207.8114471435547,207.8114471435547,56361409,0.0,0.0,,,,,,,,,,19,0.052636842105263155,0.15803157894736844,0.7893368421052632,0.10539473684210529
2025-09-21,209.2680603309914,211.6957640471282,207.8114381013093,209.75360107421875,33805955,0.0,0.0,,,,,,,,,,44,0.04762045454545454,0.20383863636363636,0.7485613636363637,0.1562181818181818
2025-09-22,211.69576432586257,215.58009027679583,211.2102235819959,214.6090087890625,103442188,0.0,0.0,,,,,,,,,,11,0.00015454545454545454,0.18181818181818182,0.8180454545454545,0.18166363636363636
2025-09-23,215.5800964629169,216.5511779785156,212.66685191612072,216.5511779785156,64385629,0.0,0.0,,,,,,,,,,11,0.09106363636363636,0.3382636363636364,0.5706727272727273,0.24720000000000003
2025-09-24,216.5511692876401,224.3198211006496,216.06562854932704,223.34873962402344,123630302,0.0,0.0,,,84.97998538168702,,,,,,,22,0.04556363636363636,0.2730727272727273,0.6813818181818182,0.22750909090909094
