Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,sma_20,ema_20,rsi_14,macd,macd_signal,macd_diff,bb_high,bb_low,bb_mid,news_count,avg_bearish,avg_bullish,avg_neutral,net_sentiment
2025-09-09,1482.2388449035236,1482.2388449035236,1448.1083451853503,1452.984130859375,6557814,0.0,0.0,,,,,,,,,,4431,0.07459566689234935,0.15235831640713157,0.7730515684946965,0.07776264951478222
2025-09-10,1467.6114720524968,1472.4872576739338,1443.2325439453125,1443.2325439453125,4509127,0.0,0.0,,,,,,,,,,34,0.08896176470588235,0.20488823529411765,0.7061558823529411,0.1159264705882353
2025-09-11,1457.859847251815,1462.7356326941288,1433.4809200402462,1448.1082763671875,4172705,0.0,0.0,,,,,,,,,,36,0.026941666666666666,0.3071138888888889,0.6659527777777777,0.28017222222222227
2025-09-14,1452.984061809501,1457.859847251815,1443.2324909248737,1448.1082763671875,2733745,0.0,0.0,,,,,,,,,,33,0.0305,0.19165151515151516,0.7778333333333334,0.16115151515151516
2025-09-15,1462.7357110138437,1506.617782344259,1457.8599253104642,1496.8662109375,8152357,0.0,0.0,,,,,,,,,,18,0.0001722222222222222,0.2766388888888889,0.7231666666666666,0.27646666666666664
2025-09-16,1506.6178051272764,1506.6178051272764,1472.4873046875,1472.4873046875,4695051,0.0,0.0,,,,,,,,,,24,0.00030416666666666667,0.3110541666666667,0.6886458333333333,0.31075
2025-09-17,1487.1146620188326,1491.9904477959435,1457.8599473561671,1472.4873046875,3539535,0.0,0.0,,,,,,,,,,24,0.000175,0.1650875,0.8347416666666666,0.1649125
2025-09-18,1462.7357482910156,1467.6115341186523,1404.226318359375,1404.226318359375,13241946,0.0,0.0,,,,,,,,,,19,0.052636842105263155,0.15803157894736844,0.7893368421052632,0.10539473684210529
2025-09-21,1389.5989686144628,1394.4747544692505,1365.2200393405249,1370.0958251953125,8578839,0.0,0.0,,,,,,,,,,44,0.04762045454545454,0.20383863636363636,0.7485613636363637,0.1562181818181818
2025-09-22,1355.4684215198863,1370.0957785866476,1340.841064453125,1340.841064453125,10776401,0.0,0.0,,,,,,,,,,11,0.00015454545454545454,0.1818181818181818,0.8180454545454545,0.18166363636363633
2025-09-23,1311.5863413416353,1321.3379126527257,1296.958984375,1296.958984375,11129639,0.0,0.0,,,,,,,,,,11,0.09106363636363636,0.3382636363636364,0.5706727272727273,0.24720000000000003
2025-09-24,1296.9589471639754,1331.0894457735535,1296.9589471639754,1311.5863037109375,7547381,0.0,0.0,,,,,,,,,,22,0.04556363636363636,0.2730727272727273,0.6813818181818182,0.22750909090909094
2025-09-25,1311.5863093019443,1316.4620948383829,1277.455810546875,1277.455810546875,6728741,0.0,0.0,,,,,,,,,,18,0.11221666666666666,0.11070555555555556,0.7770888888888889,-0.001511111111111102
2025-09-29,1277.455879240435,1292.0832366363177,1257.9527360459244,1282.3316650390625,7200191,0.0,0.0,,,20.486608290976577,,,,,,,51,0.0013901960784313727,0.23059607843137256,0.7680294117647058,0.22920588235294118
2025-09-30,1272.5800467762035,1272.5800467762035,1253.076904296875,1253.076904296875,6432244,0.0,0.0,,,17.900295645895824,,,,,,,16,0.0625,0.01203125,0.92545625,-0.05046875
2025-10-01,1257.9527435302734,1267.7043151855469,1248.201171875,1248.201171875,8209274,0.0,0.0,,,17.503681358728628,,,,,,,25,0.047928,0.230968,0.721112,0.18304
